VARCES-ALLIERES-ET-RISSET,5.682541,45.097471,Mouvement de Terrain
VIZILLE,5.77116,45.085239,Glissement de Terrain
VIZILLE,5.77116,45.085239,Secousse Sismique
VIZILLE,5.771161,45.08525,Glissement de Terrain
VIZILLE,5.771161,45.08525,Secousse Sismique
VARCES-ALLIERES-ET-RISSET,5.676681,45.095902,Mouvement de Terrain
BRIE-ET-ANGONNES,5.80428,45.122033,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.80428,45.122033,Secousse Sismique
BRIE-ET-ANGONNES,5.804285,45.122109,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.804285,45.122109,Secousse Sismique
CHAMP-SUR-DRAC,5.740652,45.081638,Glissement de Terrain
CHAMP-SUR-DRAC,5.740652,45.081638,Secousse Sismique
NOTRE-DAME-DE-MESAGE,5.740652,45.081638,Secousse Sismique
CHAMP-SUR-DRAC,5.735801,45.079974,Glissement de Terrain
CHAMP-SUR-DRAC,5.735801,45.079974,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.821549,45.110011,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.804723,45.112857,Secousse Sismique
VIZILLE,5.757737,45.070346,Glissement de Terrain
VIZILLE,5.757737,45.070346,Secousse Sismique
NOTRE-DAME-DE-MESAGE,5.757737,45.070346,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.807809,45.112784,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.807803,45.112769,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.828747,45.121792,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.809423,45.1197,Secousse Sismique
BRIE-ET-ANGONNES,5.766341,45.11269,Secousse Sismique
LE GUA,5.649507,45.020457,Mouvement de Terrain
BRIE-ET-ANGONNES,5.804249,45.12211,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.804249,45.12211,Secousse Sismique
BRIE-ET-ANGONNES,5.804246,45.122086,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.804246,45.122086,Secousse Sismique
BRIE-ET-ANGONNES,5.804283,45.122084,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.804283,45.122084,Secousse Sismique
VAULNAVEYS-LE-HAUT,5.807358,45.114668,Secousse Sismique
SAINT-MARTIN-D'URIAGE,5.824835,45.132923,Mouvement de Terrain
