id,geo_point_2d,secteur,commune,antenne_mairie,adresse,perimetre_pave,type_dechet_code,type_dechet,type_conteneur_code,type_conteneur,volume_m3,marque,modele,modele_info_sup,type_avaloir,type_collecteur,nom_collecteur,etat,etat_info_sup,date_info_etat,date_instal_conteneur_sup,type_installation,date_renouvellement_materiel,x_longitude,y_latitude
199,"45.18931,5.6984",Nord-Ouest,Fontaine,,18-20 Avenue Aristide Briand / Parking Marché Gabriel Péri / derrière WC publics,,VER,verre,CA,aérien,4.2,Citec,Cyclea Max,,,Prestataire,Lely,Bon,Citec_Cyclea Max_4.2_A_c,,,,,5.698398,45.18931
3025,"45.11385,5.72846",Grand-Sud,Champagnier,,Place du Lacca,,EMB,emballages,CE,enterré,0.0,Astech,,,,Prestataire,Lely,Sale,,,,,,5.728456,45.113847
202,"45.18907,5.69355",Nord-Ouest,Fontaine,,29-31 Boulevard Joliot Curie / Angle Avenue Aristide Briand,,VER,verre,CE,enterré,4.0,Citec,Evolution S,Type G4 BAMMENS,,Prestataire,Lely,Bon,Citec_Evolution S_4_E_k,,,,,5.693546,45.189074
184,"45.19422,5.69951",Nord-Ouest,Fontaine,,3 Rue Charles Michel,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.699511,45.194218
168,"45.19534,5.66731",Nord-Ouest,Fontaine,,3-11 Rue de la République,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.667305,45.195338
1030,"45.17116,5.80651",Nord-Est,Venon,,Route départementale / Pré Bousson (plateforme de tri),,VER,verre,CA,aérien,4.0,Biloba,Ecobois Neo,,,Prestataire,Lely,Bon,SNNECO_EcoBois/EcoDI_4_A_c,,2010 (septembre),,2019-03-07,5.806506,45.171157
185,"45.19658,5.69858",Nord-Ouest,Fontaine,,44 Rue Doyen Gosse / Quai du Drac (vers n° 63) / Rue Paul Vaillant Couturier / Parking Copro les Pervenches,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.69858,45.196582
200,"45.18923,5.70065",Nord-Ouest,Fontaine,,5 Quai du Drac / Pont du Drac,,VER,verre,CA,aérien,2.5,Citec,,,,Prestataire,Lely,Bon,Citec__2.5_A_c,,,,,5.700651,45.189225
198,"45.1919,5.69715",Nord-Ouest,Fontaine,,50-52 Avenue Jean Jaurès / Bibliothèque Paul Eluard / Square Jean Jaurès,,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Très bon,Citec_Cyclea_2.5_A_c,,,,,5.697153,45.191903
183,"45.19674,5.69654",Nord-Ouest,Fontaine,,50-54 Rue Henri Barbusse / Square Eugène Chavant (parking),,VER,verre,CA,aérien,2.5,Citec,Cyclea,,,Prestataire,Lely,Bon,Citec_Cyclea_2.5_A_c,,,,,5.696538,45.196741
